# idx	freq_hz
482	12007390
483	12007730
484	12007640
485	12007520
486	12006530
487	12007400
488	12008330
489	12008330
490	12008130
491	12007450
492	12007520
493	12007180
494	12006570
495	12006710
496	12006820
497	12006880
498	12006550
499	12007550
500	12007460
501	12007070
502	12006400
503	12006900
504	12007430
505	12007250
506	12007240
507	12006660
508	12006720
509	12005960
510	12005730
511	12006160
512	12006120
513	12006710
514	12007180
515	12007230
516	12007590
517	12007300
518	12007390
519	12007300
520	12006930
521	12006600
522	12007530
523	12007770
524	12007210
525	12006650
526	12006580
527	12006380
528	12007250
529	12007700
530	12007150
531	12006440
532	12006120
533	12005790
534	12006540
535	12006510
536	12006030
537	12006200
538	12005950
539	12005680
540	12006630
541	12006160
542	12006150
543	12006390
544	12006900
545	12006850
546	12007340
547	12007590
548	12008360
549	12009000
550	12009590
551	12008790
552	12008660
553	12008380
554	12008660
555	12007800
556	12008890
557	12008760
558	12008840
559	12008700
560	12009040
561	12009870
562	12009520
563	12009020
564	12009020
565	12008710
566	12010140
567	12009490
568	12008820
569	12007530
570	12007990
571	12007730
572	12007250
573	12009330
574	12010240
575	12010390
576	12008870
577	12008420
578	12008890
579	12008980
580	12008680
581	12009240
582	12009150
583	12008440
584	12008030
585	12008840
586	12008080
587	12008960
588	12008920
589	12009230
590	12008430
591	12007930
592	12007720
593	12007950
594	12008960
595	12008530
596	12007790
597	12008470
598	12007970
599	12008700
600	12008800
601	12008780
602	12008080
603	12007830
604	12008800
605	12007990
606	12007820
607	12006950
608	12006590
609	12006890
610	12007680
611	12008130
612	12008690
613	12008230
614	12008250
615	12008740
616	12008890
617	12008530
618	12008030
619	12008690
620	12008490
621	12008530
622	12008850
623	12008870
624	12008220
625	12007190
626	12007320
627	12007530
628	12008320
629	12007830
630	12008150
631	12008510
632	12008040
633	12007670
634	12007950
635	12008020
636	12008570
637	12009000
638	12008720
639	12008570
640	12008670
641	12008530
642	12008770
643	12008960
644	12008910
645	12009290
646	12008990
647	12009390
648	12008970
649	12008860
650	12008110
651	12008480
652	12008250
653	12008700
654	12007870
655	12008470
656	12007680
